Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
Premier League,Man City,0.56,Erling Haaland,ST (C),,26,"6'5""",Very Strong,Reasonable,7.92,6,1691,29,58.31034483,1.5,23.13,19.3,5.87,1.2,29%,0.229009901,5.4,3.6,1.2,66%,3,5,60,1,0.1,2.44,0.1,86%,27.9,0.3,1.2,0.4,0.7,0.3,46,0.4,0.2,50,1.2,21,39,7.8,1.9,0.1,0.6,1.3,100,2,0,0,0,0,40,0,0,11.3,5.4,No recurring injuries,Above Average,7.5,55,0.2,0,0,1,0,0,0,0,0,0,0,2.9,1.1
Premier League,Man Utd,0.51,Benjamin Šeško,ST (C),,23,"6'5""",Fairly Strong,Very Strong,7.31,1,1484,15,98.93333333,0.9,12.9,11.37,2.1,0.8,21%,0.1816901408,4.3,2.2,1.3,52%,0,2,50,3,0.2,2.85,0.2,86%,27.5,0.8,1.4,1.2,0.3,0.1,40,0.3,0.1,40,0.8,9,17,5.9,3.7,0.4,1.3,1.9,75,8,0,0.2,0.1,0,18,0,0,11.9,10.6,No recurring injuries,Low,8.9,49,0.2,0,0,0,0,0,0,0,0,0,0,2.8,2.3
Ligue 1 McDonald's,Paris SG,0.61,Ousmane Dembélé,ST (C),AM (L),29,"5'10""",Very Strong,Very Strong,7.42,4,1616,14,115.4285714,0.8,7.37,7.37,6.63,0.4,26%,0.1364814815,3,1.7,1.1,57%,2,1,100,3,0.2,2.78,0.2,90%,32.1,0.3,1.4,1.3,1.7,0.7,40,1.1,0.6,58,1.7,31,15,5.8,2.3,0.2,0.9,1.9,50,6,0,0.1,0.1,0.1,15,1,0,11.1,6.9,No recurring injuries,Average,3.4,15,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5
First Division,R. Madrid,0.59,Kylian Mbappé,AM (L),AM (R),27,"5'10""",Fairly Strong,Very Strong,7.81,5,1379,14,98.5,0.9,12.24,12.24,1.76,0.8,19%,0.1632,4.9,2,1.4,41%,2,1,100,5,0.3,4.88,0.3,91%,53.3,0.6,2.5,4.6,3.7,0.8,21,2.8,0.7,26,4.1,20,9,5.1,7,1.6,1.9,10.6,89,28,0,0.2,0.5,0.1,17,1,0,12.1,17.6,No recurring injuries,Below Average,2.6,23,0,0,0,0,0,0,0,0,0,0,0,2.9,0.8
Premier League,Bournemouth,0.44,Evanilson,ST (C),,27,"6'0""",Fairly Strong,Very Strong,7.1,3,1190,12,99.16666667,0.9,8.24,8.24,3.76,0.6,34%,0.2354285714,2.6,1.1,0.4,43%,0,0,0,0,0,1.19,0.1,86%,20.7,0.2,1,0.5,0.4,0.2,60,0.4,0.2,60,0.7,13,20,5.5,2,0.2,0.6,2.1,67,3,0,0.2,0.1,0.2,23,1,0,12,8.5,No recurring injuries,Above Average,8.6,32,0.1,0,0,0,0,0,0,0,0,0,0,1.7,2.1
Serie BKT,Venezia,0.5,Yussuf Poulsen,ST (C),,32,"6'4""",Fairly Strong,Very Strong,7.35,0,1176,12,98,0.9,4.68,4.68,7.32,0.4,35%,0.1376470588,2.6,1.2,0,47%,0,0,0,4,0.3,0.85,0.1,64%,21.4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,81,16,0,0,0,0,28,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,Liverpool,0.59,Hugo Ekitiké,ST (C),AM (L),24,"6'3""",Fairly Strong,Very Strong,6.99,2,1597,12,133.0833333,0.7,8.12,8.12,3.88,0.5,26%,0.1765217391,2.6,1.5,0.8,57%,4,0,0,2,0.1,1.71,0.1,84%,21.1,0.3,1,1.2,0.3,0.1,33,0.3,0.1,33,1.1,9,29,6.3,2.8,0.5,1.1,3,69,13,0,0.1,0.2,0.1,31,1,0,11.2,6.4,No recurring injuries,Average,6.8,29,0.1,0,0,0,0,0,0,0,0,0,0,2.3,1.7
Premier League,Spurs,0.55,Vangelis Pavlidis,ST (C),,28,"6'1""",Fairly Strong,Very Strong,6.76,1,1647,11,149.7272727,0.6,10.74,7.66,0.26,0.6,18%,0.1760655738,3.3,1.3,0.7,38%,0,4,75,0,0,0.7,0,87%,26.6,0.1,0.8,1.2,0.2,0.1,25,0.2,0.1,25,0.3,15,6,5.2,1.9,0.4,0.9,3.3,54,13,0,0.1,0.2,0,11,1,0,11.4,7.8,No recurring injuries,Below Average,7.4,30,0,0,0,0,0,0,0,0,0,0,0,1.4,0.8
Bundesliga,Bayer 04 Leverkusen,0.60,Christian Kofane,ST (C),AM (RC),20,"6'2""",Reasonable,Very Strong,7.17,2,1365,11,124.0909091,0.7,7.2,7.2,3.8,0.5,20%,0.1285714286,3.7,1.8,0.9,50%,1,0,0,1,0.1,2.07,0.1,86%,35.5,0.1,0.9,1.6,1.1,0.5,41,1.1,0.5,41,1.9,26,18,13.7,2.5,0.5,1.3,3.8,88,8,0,0.3,0.1,0.1,20,0,0,11.5,9.8,No recurring injuries,Below Average,5.8,53,0.1,0,0,0,0,0,0,0,0,0,0,1.9,0.7
Serie A,Blu-neri,0.5,Marcus Thuram,ST (C),AM (L),29,"6'4""",Fairly Strong,Very Strong,7.38,4,1370,11,124.5454545,0.7,5.25,5.25,5.75,0.3,27%,0.1280487805,2.7,1.8,1,66%,1,0,0,3,0.2,3.37,0.2,88%,28.9,0.4,1.1,1.1,1.1,0.3,23,1.1,0.3,24,0.9,40,18,12.4,2.6,0.3,0.9,2.8,71,7,0,0.1,0.1,0,22,0,0,11.2,7.7,No recurring injuries,Above Average,5.6,33,0.1,0,0,0,0,0,0,0,0,0,0,1.7,0.7
First Division,Real Hispalis,0.53,Cucho Hernández,ST (C),AM (RL),27,"5'9""",Reasonable,Very Strong,7.04,1,1447,11,131.5454545,0.7,6.09,6.09,4.91,0.4,19%,0.1068421053,3.5,1.9,1,54%,1,1,100,0,0,1.48,0.1,92%,27.9,0.3,0.4,0.3,0.2,0.2,100,0.2,0.2,100,1.2,20,24,17.9,2.4,0.1,1,1.6,100,1,0,0.2,0.2,0,24,0,0,10.4,6,No recurring injuries,Below Average,5,41,0,0,0,0,0,0,0,0,0,0,0,1.9,0.9
First Division,A. Madrid,0.59,Julián Álvarez,ST (C),AM (RLC),26,"5'7""",Strong,Very Strong,7.07,2,1487,11,135.1818182,0.7,8.07,6.55,2.93,0.5,17%,0.1280952381,3.8,2.2,1.3,57%,2,2,100,0,0,2.31,0.1,88%,36.9,0.2,0.8,1.5,2.7,0.6,22,0.8,0.3,36,0.8,21,16,8.6,3.6,0.5,1.1,2.8,62,13,0,0.2,0.2,0.1,15,1,0,11.8,10.3,No recurring injuries,Below Average,3.6,15,0,0,0,0,0,0,0,0,0,0,0,1.6,1
