Division;Player;Position;Age;Height;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Team Goals;Assists;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;OP-Crs A/90;OP-Crs C/90;Drb/90;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio
First Division;Kylian Mbappé;AM (RL), ST (C);27;"5'10""";Fairly Strong;Very Strong;7.53;9;3917;25;156.68;25.56;24.75;-0.56;0.6;11%;0.1136;5.2;1.9;1.8;37%;6;4;75;82;10;15.57;0.4;90%;50.0;0.4;2.4;4.1;3.5;0.8;2.3;0.7;4.0;38;4.1;6.2;1.7;1.8;10.3;88;84;0;0.2;0.5;0.0;45;1;0;12.3;16.3;No recurring injuries;Below Average;3.3;26;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Erling Haaland;ST (C);25;"6'5""";Very Strong;Reasonable;7.36;9;4224;36;117.333333333333;32.32;28.47;3.68;0.7;21%;0.185747126436782;3.7;1.8;0.8;49%;1;5;80;93;12;8.83;0.2;89%;29.8;0.5;1.4;0.9;0.9;0.3;0.9;0.3;0.8;117;7.1;2.6;0.1;0.7;1.6;100;6;0;0.1;0.2;0.0;120;3;0;11.2;5.4;No recurring injuries;Above Average;7.5;58;0.2;0;0;0;0;0;0;0;0;0;0
Bundesliga;Harry Kane;AM (C), ST (C);32;"6'2""";Strong;Very Strong;7.28;5;3587;20;179.35;18.9;18.9;1.1;0.5;11%;0.108620689655172;4.4;2.2;1.4;49%;7;8;100;72;13;7.46;0.2;86%;31.2;0.4;1.1;1.0;0.5;0.2;0.5;0.2;0.4;25;4.1;3.6;0.2;0.9;1.5;90;10;1;0.1;0.1;0.0;41;7;0;10.2;6.1;No recurring injuries;Above Average;7.2;53;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Rodri;D (C), DM;29;"6'3""";Fairly Strong;Very Strong;6.94;0;3667;1;3667;2.96;2.96;-1.96;0.1;2%;0.0510344827586207;1.4;0.5;0.9;38%;0;0;0;81;2;2.37;0.1;93%;54.8;0.1;0.5;6.9;0.0;0.0;0.0;0.0;0.0;0;3.7;9.9;0.7;2.9;4.2;73;40;4;0.7;0.6;0.5;16;8;0;11.9;12.9;No recurring injuries;Below Average;4.6;61;1.2;0;0;0;0;0;0;0;0;0;0
Premier League;Mohamed Salah;AM (RL), ST (C);33;"5'9""";Very Strong;Weak;7.34;7;3375;19;177.631578947368;13.22;10.91;5.78;0.4;22%;0.151954022988506;2.3;1.3;1.0;55%;4;4;75;86;13;15.5;0.4;92%;68.4;1.0;3.3;3.9;8.3;1.9;5.3;1.5;2.1;67;14.3;7.6;1.2;2.4;12.4;61;75;0;0.3;0.4;0.2;73;1;0;13.7;23.5;No recurring injuries;Low;3.4;22;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Virgil van Dijk;D (C);34;"6'5""";Reasonable;Very Strong;7.26;3;4140;4;1035;1.26;1.26;2.74;0.0;25%;0.07875;0.3;0.2;0.0;69%;0;0;0;109;2;1.51;0.0;95%;67.3;0.0;0.2;4.5;0.0;0.0;0.0;0.0;0.1;0;3.3;13.7;0.5;4.2;2.4;76;33;6;0.6;0.7;0.6;18;5;0;10.7;6.4;No recurring injuries;Above Average;7.6;69;1.4;0;0;1;0;0;0;0;0;0;0
First Division;Vinícius Júnior;AM (L), ST (C);25;"5'9""";Fairly Strong;Very Strong;7.24;6;4057;25;162.28;14.36;14.36;10.64;0.3;20%;0.117704918032787;2.7;1.6;1.0;58%;7;0;0;86;6;5.52;0.1;90%;32.2;0.4;1.5;2.0;1.0;0.3;1.0;0.3;2.0;29;9.8;3.0;0.4;0.9;2.9;87;23;1;0.1;0.3;0.0;51;3;0;11.2;8.1;No recurring injuries;Below Average;4.7;27;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Bernardo Silva;M/AM (RC);31;"5'8""";Very Strong;Weak;7.02;3;3645;9;405;9;9;0;0.2;13%;0.128571428571429;1.7;0.8;0.7;49%;5;0;0;75;17;13.08;0.3;90%;48.8;0.9;2.4;5.0;3.3;0.8;1.0;0.4;1.4;6;9.6;6.5;1.0;1.6;6.9;63;63;2;0.2;0.4;0.2;23;4;0;10.9;20.1;No recurring injuries;Above Average;1.4;24;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Lamine Yamal;M/AM (R);18;"5'11""";Very Strong;Reasonable;7.61;7;3515;19;185;15.15;15.15;3.85;0.4;14%;0.112222222222222;3.5;1.4;1.4;41%;4;0;0;85;17;14.72;0.4;88%;59.6;0.8;2.9;6.9;7.6;1.7;4.1;1.3;5.2;23;11.5;6.9;1.8;2.2;11.9;70;98;0;0.2;0.4;0.0;42;1;0;12.2;18.0;No recurring injuries;Below Average;3.4;32;0.1;0;0;1;0;0;0;0;0;0;0
Premier League;Denzel Dumfries;D/WB/M (R);30;"6'2""";Reasonable;Very Strong;6.89;0;1169;0;0;0.95;0.95;-0.95;0.1;0%;0.095;0.8;0.6;0.1;80%;0;0;0;21;0;0.31;0.0;92%;76.3;0.2;0.3;9.3;0.6;0.0;0.6;0.0;0.5;3;8.5;14.5;2.0;5.5;8.3;87;30;0;0.6;0.8;0.1;24;3;0;12.8;15.3;No recurring injuries;Below Average;5.0;75;0.3;0;0;0;0;0;0;0;0;0;0
