Club,Percentage
Arsenal,61%
Liverpool,59%
Nott'm Forest,58%
Man City,56%
Chelsea,56%
Spurs,55%
Newcastle,54%
Aston Villa,54%
Brighton,51%
Man Utd,51%
Crystal Palace,49%
Birmingham,48%
Coventry,46%
Fulham,45%
Bournemouth,44%
West Ham,44%
Ipswich,42%
Wolves,42%
Brentford,38%
Everton,37%
Leeds,62%
West Brom,56%
Derby,56%
Norwich,56%
Southampton,53%
Millwall,53%
Sunderland,53%
Burnley,53%
Blackburn,52%
QPR,52%
Sheffield United,52%
Preston,50%
Middlesbrough,50%
Cardiff,49%
Portsmouth,49%
Stockport,48%
Swansea,48%
Leicester,47%
Wrexham,46%
Bristol City,45%
Stoke,44%
Watford,43%
Hull,39%
Lincoln,33%
A. Bilbao,61%
Barcelona,61%
A. Madrid,59%
R. Madrid,59%
Girona,57%
Real San Sebastián,57%
Real Hispalis,53%
Vallecano,53%
Villarreal,53%
Atlético Pamplona,52%
Vigo,52%
Valencia,49%
Cádiz,48%
Oviedo,45%
Sevilla,43%
Granada,42%
Levante,39%
Getafe,38%
Burgos,35%
Elche,34%
Mallorca,57%
Espanyol,57%
Málaga,57%
S. Gijón,55%
Eibar,55%
Valladolid,54%
Huesca,53%
Almería,53%
Alavés,52%
Tarragona,51%
R. Santander,51%
Las Palmas,49%
Zaragoza,48%
Leonesa,48%
Coruña,48%
Córdoba,47%
Leganés,45%
F.C. Andorra,45%
Villarreal B,45%
Tenerife,44%
Albacete,41%
R. Madrid B,36%
Paris SG,61%
LOSC,57%
OL,56%
Troyes,55%
Olympique de Marseille,54%
Brest,51%
Auxerre,51%
AS Monaco,50%
OGC Nice,49%
Toulouse FC,49%
Paris FC,48%
RC Lens,48%
Reims,47%
Rennes,47%
Strasbourg,45%
Havre AC,43%
FC Lorient,42%
Saint-Étienne,40%
Angers SCO,60%
FC Metz,59%
FC Nantes,59%
Clermont Foot,57%
Montpellier,55%
Nancy,54%
EA Guingamp,54%
Amiens SC,52%
SC Bastia,51%
USL Dunkerque,50%
Pau FC,48%
Grenoble,46%
FC Annecy,43%
FC Rouen,43%
Laval MFC,43%
SM Caen,41%
Rodez,40%
Red Star FC,39%
FC Bayern München,63%
Borussia Dortmund,62%
Bayer 04 Leverkusen,60%
VfB Stuttgart,57%
FC Augsburg,54%
TSG Hoffenheim,53%
RB Leipzig,52%
1. FC Nürnberg,52%
Sport-Club Freiburg,51%
VfL Wolfsburg,47%
Eintracht Frankfurt,46%
SV Werder Bremen,46%
FC St. Pauli,45%
Borussia M'gladbach,44%
1. FC Union Berlin,43%
1. FSV Mainz 05,41%
1. FC Magdeburg,41%
VfL Bochum 1848,38%
Feyenoord,65%
AZ,62%
Ajax,60%
Fortuna Sittard,56%
FC Groningen,56%
FC Twente,56%
PSV,55%
FC Utrecht,55%
N.E.C.,54%
Go Ahead Eagles,51%
Excelsior,50%
Sparta Rotterdam,46%
sc Heerenveen,41%
RKC Waalwijk,40%
Telstar,39%
Willem II,38%
FC Emmen,34%
NAC Breda,33%
Sporting CP,62%
Benfica,59%
BRG,57%
FC Porto,57%
TND,55%
Santa Clara,54%
Rio Ave,53%
Famalicão,51%
Arouca,51%
AVS SAD,48%
Gil Vicente,48%
Estoril Praia,46%
VTSC,46%
Alverca SAD,45%
Moreirense,44%
Estrela da Amadora SAD,40%
VIZ,39%
Torreense,38%
Rot-Weiss Essen,55%
Hertha BSC,54%
Hamburger SV,54%
Hannover 96,53%
1. FC Köln,53%
1. FC Kaiserslautern,53%
SV Elversberg,52%
1. FC Heidenheim 1846,51%
SV Darmstadt 98,51%
Eintracht Braunschweig,50%
SC Paderborn 07,49%
FC Schalke 04,48%
SSV Jahn Regensburg,47%
Karlsruher SC,46%
SG Dynamo Dresden,46%
Fortuna Düsseldorf,45%
1. FC Saarbrücken,44%
Holstein Kiel,43%
RSC Anderlecht,58%
KV Kortrijk,57%
KRC Genk,54%
Club Brugge,54%
Dender EH,54%
Antwerp,53%
Charleroi,53%
KV Mechelen,51%
Union SG,51%
Cercle Brugge,50%
Standard,50%
RWDM Brussels,50%
OH Leuven,47%
Westerlo,47%
KAA Gent,45%
RAAL La Louvière,40%
STVV,39%
Beerschot,38%
