Club,Possession
Arsenal,60%
Liverpool,60%
Nott'm Forest,54%
Man City,57%
Chelsea,54%
Spurs,52%
Newcastle,57%
Aston Villa,53%
Brighton,51%
Man Utd,50%
Crystal Palace,52%
Birmingham,50%
Coventry,45%
Fulham,46%
Bournemouth,43%
West Ham,44%
Ipswich,43%
Wolves,41%
Brentford,41%
Everton,8%
Leeds,61%
West Brom,54%
Derby,52%
Norwich,53%
Southampton,55%
Millwall,53%
Sunderland,52%
Burnley,52%
Blackburn,52%
QPR,52%
Sheffield United,54%
Preston,50%
Middlesbrough,51%
Cardiff,48%
Portsmouth,50%
Stockport,48%
Swansea,50%
Leicester,48%
Wrexham,46%
Bristol City,46%
Stoke,44%
Watford,44%
Hull,43%
Lincoln,32%
A. Bilbao,61%
Barcelona,61%
A. Madrid,59%
R. Madrid,55%
Girona,54%
Real San Sebastian,57%
Real Hispalis,54%
Vallecano,48%
Villarreal,53%
Atletico Pamplona,50%
Vigo,48%
Valencia,51%
Cadiz,48%
Oviedo,47%
Sevilla,45%
Granada,43%
Levante,41%
Getafe,42%
Burgos,34%
Elche,39%
Mallorca,59%
Espanyol,54%
Málaga,56%
S. Gijon,51%
Eibar,53%
Valladolid,56%
Huesca,52%
Almeria,54%
Alaves,48%
Tarragona,49%
R. Santander,52%
Las Palmas,45%
Zaragoza,48%
Leonesa,50%
Coruna,50%
Cordoba,50%
Leganes,46%
F.C. Andorra,43%
Villarreal B,46%
Tenerife,46%
Albacete,42%
R. Madrid B,41%
Paris SG,60%
LOSC,57%
OL,57%
Troyes,47%
Olympique de Marseille,55%
Brest,52%
Auxerre,48%
AS Monaco,47%
OGC Nice,51%
Toulouse FC,47%
Paris FC,51%
RC Lens,49%
Reims,51%
Rennes,48%
Strasbourg,47%
Havre AC,40%
FC Lorient,42%
Saint-Etienne,43%
Angers SCO,62%
FC Metz,53%
FC Nantes,59%
Clermont Foot,57%
Montpellier,56%
Nancy,51%
EA Guingamp,53%
Amiens SC,50%
SC Bastia,50%
USL Dunkerque,49%
Pau FC,49%
Grenoble,42%
FC Annecy,44%
FC Rouen,47%
Laval MFC,49%
SM Caen,39%
Rodez,43%
Red Star FC,38%
FC Bayern Munchen,63%
Borussia Dortmund,59%
Bayer 04 Leverkusen,61%
VfB Stuttgart,26%
FC Augsburg,50%
TSG Hoffenheim,51%
RB Leipzig,57%
1. FC Nurnberg,45%
Sport-Club Freiburg,50%
VfL Wolfsburg,45%
Eintracht Frankfurt,48%
SV Werder Bremen,48%
FC St. Pauli,47%
Borussia M'gladbach,47%
1. FC Union Berlin,47%
1. FSV Mainz 05,39%
1. FC Magdeburg,37%
VfL Bochum 1848,42%
Feyenoord,60%
AZ,60%
Ajax,60%
Fortuna Sittard,50%
FC Groningen,54%
FC Twente,57%
PSV,54%
FC Utrecht,53%
N.E.C.,50%
Go Ahead Eagles,52%
Excelsior,48%
Sparta Rotterdam,44%
sc Heerenveen,42%
RKC Waalwijk,36%
Telstar,46%
Willem II,41%
FC Emmen,43%
NAC Breda,41%
Sporting CP,63%
Benfica,58%
BRG,53%
FC Porto,56%
TND,50%
Santa Clara,46%
Rio Ave,50%
Famalicao,54%
Arouca,53%
AVS SAD,47%
Gil Vicente,48%
Estoril Praia,48%
VTSC,47%
Alverca SAD,43%
Moreirense,46%
Estrela da Amadora SAD,48%
VIZ,37%
Torreense,43%
Rot-Weiss Essen,49%
Hertha BSC,53%
Hamburger SV,55%
Hannover 96,49%
1. FC Koln,53%
1. FC Kaiserslautern,51%
SV Elversberg,49%
1. FC Heidenheim 1846,53%
SV Darmstadt 98,53%
Eintracht Braunschweig,51%
SC Paderborn 07,50%
FC Schalke 04,50%
SSV Jahn Regensburg,44%
Karlsruher SC,43%
SG Dynamo Dresden,45%
Fortuna Dusseldorf,50%
1. FC Saarbrucken,47%
Holstein Kiel,46%
RSC Anderlecht,55%
KV Kortrijk,53%
KRC Genk,53%
Club Brugge,57%
Dender EH,53%
Antwerp,51%
Charleroi,54%
KV Mechelen,50%
Union SG,54%
Cercle Brugge,50%
Standard,46%
RWDM Brussels,49%
OH Leuven,47%
Westerlo,47%
KAA Gent,47%
RAAL La Louviere,46%
STVV,43%
Beerschot,37%
