Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
Premier League;Man City;Erling Haaland;ST (C);;ST (C);26;"6'5""";£450K - £500K p/w;£180M - £196M;Very Strong;Reasonable;7.74;12;3494;51;68.5098039215686;1.3;43.04;36.14;7.96;1.1;26%;0.221855670103093;5.0;3.2;1.1;64%;8;9;78;4;0.1;6.72;0.2;87%;29.1;0.3;1.4;0.6;1.1;0.5;46;1.0;0.5;49;1.1;35;101;8.2;2.0;0.1;0.5;1.4;75;4;0;0.1;0.1;0.0;106;2;0;11.2;5.7;No recurring injuries;Above Average;7.4;59;0.2;0;0;2;0;0;0;0;0;0;0;2.7;1.2
Premier League;Man Utd;Benjamin Šeško;ST (C);;ST (C);23;"6'5""";£230K p/w;£69M - £86M;Fairly Strong;Very Strong;7.22;4;3280;31;105.806451612903;0.9;23.07;21.54;7.93;0.6;23%;0.169632352941176;3.7;2.1;0.8;55%;2;2;50;6;0.2;5.91;0.2;86%;25.8;0.6;1.3;1.1;0.5;0.2;45;0.5;0.2;45;0.7;24;39;5.4;3.5;0.3;1.0;2.3;63;19;0;0.2;0.1;0.1;41;0;0;11.8;10.6;No recurring injuries;Low;9.6;49;0.3;0;0;0;0;0;0;0;0;0;0;2.3;2.3
Premier League;Liverpool;Hugo Ekitiké;ST (C);AM (L);AM (L), ST (C);24;"6'3""";£220K - £300K p/w;£74M - £95M;Fairly Strong;Very Strong;6.97;5;3577;26;137.576923076923;0.7;19.85;19.85;6.15;0.5;23%;0.174122807017544;2.9;1.6;0.9;55%;7;0;0;3;0.1;3.32;0.1;86%;21.0;0.3;1.0;1.1;0.4;0.1;13;0.4;0.1;13;1.1;28;68;5.5;2.5;0.5;1.0;3.1;81;26;0;0.1;0.2;0.1;72;2;0;11.2;6.0;No recurring injuries;Average;6.5;32;0.1;0;0;0;0;0;0;0;0;0;0;1.9;1.3
Premier League;Everton;Ollie Watkins;ST (C);AM (RL);AM (RL), ST (C);31;"5'11""";£115K - £130K p/w;£15M;Reasonable;Very Strong;7.18;3;2551;26;98.1153846153846;0.9;15.36;13.06;10.64;0.5;33%;0.194430379746835;2.8;1.9;0.7;67%;6;3;100;3;0.1;2.61;0.1;86%;20.0;0.2;1.0;0.4;0.7;0.1;15;0.7;0.1;15;1.0;19;55;6.0;2.1;0.3;0.6;1.4;73;11;1;0.1;0.2;0.1;61;1;0;11.5;6.7;No recurring injuries;Below Average;11.1;32;0.2;0;0;0;0;0;0;0;0;0;0;2.2;1.3
Premier League;Newcastle;Gonçalo Ramos;ST (C);;ST (C);25;"6'1""";£105K - £120K p/w;£50M - £71M;Fairly Strong;Very Strong;7.19;8;2863;25;114.52;0.8;15.12;15.12;9.88;0.5;32%;0.191392405063291;2.5;1.5;0.5;62%;1;1;100;10;0.3;4.19;0.1;90%;30.8;0.5;1.2;0.6;0.2;0.1;40;0.2;0.1;40;0.5;18;12;6.8;1.4;0.3;0.3;1.3;73;11;1;0.1;0.0;0.0;13;0;0;10.9;5.2;No recurring injuries;Below Average;4.8;24;0.2;0;0;0;0;0;0;0;0;0;0;2.4;1.0
Serie A;Blu-neri;Marcus Thuram;ST (C);AM (L);AM (L), ST (C);29;"6'4""";£130K - £190K p/w;£109M - £139M;Fairly Strong;Very Strong;7.37;5;2821;24;117.541666666667;0.8;12.54;12.54;11.46;0.4;24%;0.124158415841584;3.2;2.0;1.2;62%;4;1;100;4;0.1;4.92;0.2;88%;27.9;0.4;1.0;1.0;0.9;0.2;21;0.9;0.2;21;0.9;74;38;11.8;2.3;0.2;0.8;2.2;58;12;0;0.1;0.1;0.0;47;0;0;10.9;6.8;No recurring injuries;Above Average;5.8;31;0.0;0;0;0;0;0;0;0;0;0;0;1.7;0.9
Premier League;FC Porto;Samu Aghehowa;ST (C);;ST (C);22;"6'4""";£42.5K - £70K p/w;£181M - £199M;Fairly Strong;Very Strong;7.19;7;3628;23;157.739130434783;0.6;13.86;13.86;9.14;0.3;15%;0.0888461538461538;3.9;2.0;1.5;53%;5;6;100;6;0.1;4.28;0.1;89%;35.0;0.3;1.2;1.3;0.6;0.2;41;0.6;0.2;42;0.6;61;29;11.7;3.0;0.3;0.8;1.7;79;14;0;0.1;0.1;0.0;33;3;0;11.2;7.9;No recurring injuries;Below Average;6.5;49;0.1;0;0;0;0;0;0;0;0;0;0;1.9;0.8
First Division;A. Madrid;Julián Álvarez;ST (C);AM (RLC);AM (RLC), ST (C);27;"5'7""";£170K - £225K p/w;£238M - £262M;Strong;Very Strong;7.12;4;3558;23;154.695652173913;0.6;17.99;16.47;5.01;0.5;15%;0.115320512820513;3.9;2.2;1.3;56%;4;4;100;1;0.0;5.4;0.1;88%;33.9;0.2;1.1;1.5;1.9;0.4;21;0.9;0.3;29;0.9;46;38;10.0;3.4;0.4;0.7;2.3;73;22;0;0.1;0.1;0.0;38;1;0;11.6;9.5;No recurring injuries;Below Average;4.5;21;0.0;0;0;0;0;0;0;0;0;0;0;1.8;0.9
First Division;R. Madrid;Kylian Mbappé;AM (L);AM (R);AM (RL), ST (C);28;"5'10""";£450K - £550K p/w;£256M - £307M;Fairly Strong;Very Strong;7.65;11;3193;23;138.826086956522;0.6;21.74;20.16;1.26;0.6;16%;0.146891891891892;4.2;1.8;1.2;44%;3;5;80;11;0.3;11.98;0.3;91%;52.0;0.7;2.1;4.4;3.7;0.8;21;3.0;0.7;24;4.3;52;25;4.4;6.6;1.5;2.3;10.9;72;75;2;0.2;0.6;0.1;39;1;0;12.2;17.3;No recurring injuries;Below Average;2.7;26;0.0;0;0;0;0;0;0;0;0;0;0;2.4;0.8
Premier League;Spurs;Vangelis Pavlidis;ST (C);;ST (C);28;"6'1""";£115K - £125K p/w;£105M - £158M;Fairly Strong;Very Strong;6.93;2;3332;22;151.454545454545;0.6;20.43;15.82;1.57;0.6;19%;0.176120689655172;3.1;1.4;0.9;44%;0;6;67;5;0.1;3.06;0.1;88%;27.7;0.2;1.1;1.5;0.4;0.1;15;0.4;0.1;15;0.5;45;15;5.3;2.3;0.4;0.8;3.6;59;22;1;0.2;0.2;0.1;23;1;0;11.4;8.3;No recurring injuries;Below Average;6.5;29;0.0;0;0;0;0;0;0;0;0;0;0;1.6;0.9
