Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
Premier League;Man City;Erling Haaland;ST (C);;ST (C);26;"6'5""";£450K - £500K p/w;£180M - £197M;Very Strong;Reasonable;7.80;6;1871;30;62.3666666666667;1.4;24.82;20.23;5.18;1.2;28%;0.23196261682243;5.1;3.4;1.1;65%;3;6;67;1;0.0;2.59;0.1;85%;28.6;0.2;1.2;0.3;0.8;0.4;50;0.5;0.3;55;1.1;25;49;8.3;1.9;0.1;0.6;1.5;75;4;0;0.0;0.0;0.0;50;0;0;11.3;5.4;No recurring injuries;Above Average;7.7;54;0.2;0;0;1;0;0;0;0;0;0;0;2.8;1.2
First Division;R. Madrid;Kylian Mbappé;AM (L);AM (R);AM (RL), ST (C);27;"5'10""";£450K - £550K p/w;£256M - £307M;Fairly Strong;Very Strong;7.73;5;1545;15;103;0.9;12.64;12.64;2.36;0.7;19%;0.162051282051282;4.5;2.0;1.3;44%;2;1;100;5;0.3;4.88;0.3;90%;52.4;0.5;2.3;4.5;3.7;0.7;18;2.7;0.6;23;4.3;26;11;5.6;7.2;1.6;2.0;10.8;82;33;0;0.2;0.6;0.1;21;1;0;12.2;17.4;No recurring injuries;Below Average;2.7;26;0.0;0;0;0;0;0;0;0;0;0;0;2.7;0.8
Bundesliga;FC Bayern München;Harry Kane;ST (C);AM (C);AM (C), ST (C);33;"6'2""";£325K - £400K p/w;Not for Sale;Strong;Very Strong;7.30;2;1500;9;166.666666666667;0.5;5.39;5.39;3.61;0.3;18%;0.1078;3.0;1.6;1.0;52%;1;0;0;5;0.3;3.71;0.2;88%;35.3;0.6;1.7;1.3;0.4;0.1;16;0.4;0.1;17;0.4;26;12;6.4;3.2;0.4;0.4;1.9;88;8;0;0.1;0.1;0.1;15;1;0;10.7;5.5;No recurring injuries;Above Average;6.1;50;0.1;0;0;0;0;0;0;0;0;0;0;1.7;1.0
Ligue 1 McDonald's;Paris SG;Ousmane Dembélé;ST (C);AM (L);AM (RL), ST (C);29;"5'10""";£300K - £375K p/w;£201M - £254M;Very Strong;Very Strong;7.42;4;1796;15;119.733333333333;0.8;8.49;8.49;6.51;0.4;25%;0.1415;3.0;1.7;1.1;57%;2;1;100;3;0.2;3.44;0.2;90%;32.7;0.3;1.5;1.5;1.5;0.6;40;1.0;0.6;58;1.8;34;19;5.9;2.3;0.2;1.0;1.8;50;6;0;0.1;0.2;0.1;19;1;0;11.2;7.2;No recurring injuries;Average;3.5;14;0.0;0;0;0;0;0;0;0;0;0;0;2.3;0.5
First Division;A. Madrid;Julián Álvarez;ST (C);AM (RLC);AM (RLC), ST (C);26;"5'7""";£175K - £220K p/w;£158M - £174M;Strong;Very Strong;7.10;2;1757;13;135.153846153846;0.7;10.17;8.65;2.83;0.5;16%;0.12873417721519;4.0;2.2;1.3;54%;2;2;100;0;0.0;2.59;0.1;88%;36.1;0.2;0.9;1.5;2.7;0.6;22;0.8;0.3;40;0.9;23;20;8.9;3.4;0.5;0.9;2.6;64;14;0;0.2;0.2;0.1;19;1;0;11.8;10.2;No recurring injuries;Below Average;3.7;17;0.0;0;0;0;0;0;0;0;0;0;0;1.7;0.9
Serie A;Blu-neri;Lautaro Martínez;ST (C);;ST (C);29;"5'9""";£215K - £275K p/w;£84M;Fairly Strong;Very Strong;7.04;1;1424;10;142.4;0.6;8.62;8.62;1.38;0.5;13%;0.113421052631579;4.8;2.7;1.2;57%;1;0;0;0;0.0;0.51;0.0;87%;30.0;0.1;1.1;1.5;0.9;0.4;50;0.9;0.4;50;1.1;31;12;9.9;2.5;0.3;0.7;1.8;67;6;0;0.0;0.0;0.0;18;2;1;11.3;8.5;No recurring injuries;Below Average;6.1;22;0.1;0;0;0;0;0;0;0;0;0;0;1.8;1.1
Premier League;Arsenal;Declan Rice;M (C);;DM, M (C);27;"6'2""";£325K - £350K p/w;£117M - £146M;Reasonable;Very Strong;7.36;0;1180;8;147.5;0.6;3.82;3.82;4.18;0.3;30%;0.141481481481481;2.1;1.3;0.9;63%;1;0;0;5;0.4;3.42;0.3;89%;65.8;0.5;1.8;4.0;6.6;1.3;19;0.9;0.2;17;0.5;12;9;12.9;6.6;1.2;2.9;8.2;73;22;1;0.8;0.8;0.6;15;0;0;13.6;25.6;No recurring injuries;Above Average;1.8;58;0.5;0;0;0;0;0;0;0;0;0;0;2.4;1.0
First Division;R. Madrid;Rodrygo;AM (R);ST (C);AM (RL), ST (C);25;"5'9""";£190K - £240K p/w;£129M - £154M;Reasonable;Very Strong;7.25;2;1114;7;159.142857142857;0.6;5.03;5.03;1.97;0.4;17%;0.119761904761905;3.4;1.6;1.1;48%;1;0;0;2;0.2;3.75;0.3;90%;53.6;0.6;2.5;5.2;3.6;0.8;22;3.6;0.8;22;3.3;19;7;14.9;5.2;1.8;2.4;11.8;85;26;1;0.3;0.9;0.0;14;2;0;12.5;18.8;No recurring injuries;Average;2.9;28;0.0;0;0;0;0;0;0;0;0;0;0;2.7;0.7
Bundesliga;FC Bayern München;Kai Havertz;ST (C);M (C);M/AM (C), ST (C);27;"6'3""";£190K - £235K p/w;£53M - £64M;Very Strong;Reasonable;7.15;2;1130;7;161.428571428571;0.6;8.43;8.43;-1.43;0.7;16%;0.191590909090909;3.5;1.6;1.0;45%;1;1;100;1;0.1;2.41;0.2;87%;35.1;0.2;2.0;1.4;0.6;0.2;37;0.6;0.2;38;1.0;20;15;11.5;2.7;0.5;1.1;3.3;86;7;0;0.0;0.1;0.0;17;0;0;10.9;6.8;No recurring injuries;Above Average;7.4;35;0.2;0;0;0;0;0;0;0;0;0;0;1.7;1.0
Premier League;Spurs;Vangelis Pavlidis;ST (C);;ST (C);28;"6'1""";£115K - £130K p/w;£129M - £190M;Fairly Strong;Very Strong;6.76;1;1808;11;164.363636363636;0.5;10.89;7.81;0.11;0.5;17%;0.17015625;3.2;1.1;0.7;36%;0;4;75;1;0.0;0.82;0.0;87%;26.2;0.0;0.7;1.2;0.2;0.0;25;0.2;0.0;25;0.3;18;7;5.0;1.9;0.4;1.0;3.0;53;15;1;0.0;0.1;0.0;12;1;0;11.4;8.0;No recurring injuries;Below Average;7.2;28;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.8
